event_start,belief_time,source,sensor_id,event_value
2019-04-04T10-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T10-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T10-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,4.87
2019-04-04T10-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,2.77
2019-04-04T10-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,3.16
2019-04-04T10-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.89
2019-04-04T10-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,999.25
2019-04-04T10-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.48
2019-04-04T10-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,2.48
2019-04-04T10-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,163.0
2019-04-04T10-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,0.99
2019-04-04T10-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,1.0
2019-04-04T10-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,10.01
2019-04-04T10-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,432.01
2019-04-04T11-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T11-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T11-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,6.24
2019-04-04T11-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,4.37
2019-04-04T11-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,3.93
2019-04-04T11-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.85
2019-04-04T11-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,999.55
2019-04-04T11-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.51
2019-04-04T11-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,2.51
2019-04-04T11-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,165.0
2019-04-04T11-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,1.0
2019-04-04T11-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,1.0
2019-04-04T11-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,10.01
2019-04-04T11-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,429.48
2019-04-04T12-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T12-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T12-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,7.37
2019-04-04T12-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,5.65
2019-04-04T12-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,4.15
2019-04-04T12-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.8
2019-04-04T12-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,999.83
2019-04-04T12-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.57
2019-04-04T12-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,2.58
2019-04-04T12-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,157.0
2019-04-04T12-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,1.0
2019-04-04T12-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,2.0
2019-04-04T12-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,11.47
2019-04-04T12-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,426.27
2019-04-04T13-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T13-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T13-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,8.55
2019-04-04T13-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,7.09
2019-04-04T13-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,3.92
2019-04-04T13-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.73
2019-04-04T13-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,1000.1
